target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,VIP,439312,0,1,0,0.508266129,35.4008833,0.4754098361,0,0,10.562527135,1116
0,2NDFL,elementary,,36063,0,0,0,1.3705645161,26.22860244,1.7272325773,0,0,6.1464106595,1132
0,2NDFL,elementary,,153763,0,0,0,0.4101926523,41.71610899,6.2065199491,0,0,10.979122689,1134
0,OTHER,elementary,,117000,0,0,1,0.7981630824,45.963223295,3.0015794595,0,0,0.8317164458,1145
0,OTHER,elementary,Corporate,90714,0,1,0,13.96124552,35.063013699,0.2572647653,0,1,10.75890411,1149
0,2NDFL,elementary,,18198,0,0,,,31.530054645,2.5767347855,,,8.6150909499,1151
0,OTHER,elementary,Corporate,117993,0,1,1,0.7321012545,28.807785014,4.9283329591,0,0,6.6516206303,1160
0,OTHER,beginner,,52000,0,0,0,2.7926523297,36.519739501,3.7131147541,0,1,6.2238490905,1165
0,OTHER,elementary,Corporate,131876,0,1,0,,34.997260274,6.7726027397,0,0,11.556164384,1170
0,2NDFL,advanced,,17524,0,0,1,2.0503360215,29.835616438,1.8876712329,0,0,2.0876712329,1171
0,OTHER,elementary,Corporate,91384,0,1,,,32.983329591,0.9833295905,,,7.6821917808,1178
0,OTHER,advanced,,30000,0,0,,,33.010958904,0.9561643836,,,2.7260273973,1179
0,2NDFL,elementary,,95144,0,0,1,1.0871191756,31.650273224,8.4594730144,0,0,8.2786885246,1183
0,OTHER,elementary,,69600,0,0,0,0.9250224014,50.62264391,2.9322329516,0,0,5.5596302118,1199
0,OTHER,elementary,,69600,0,0,0,0.9250224014,50.62264391,2.9322329516,0,0,5.5596302118,1200
